Datetime,symbol,price,volume
2021-07-09 11:27:00-04:00,MSFT,277.2099914550781,36559
2021-07-09 11:28:00-04:00,MSFT,277.2300109863281,34999
2021-07-09 11:29:00-04:00,GOOGL,2505.070068359375,454
2021-07-09 11:29:00-04:00,MSFT,277.1400146484375,30121
2021-07-09 11:30:00-04:00,GOOGL,2505.25,2333
2021-07-09 11:30:00-04:00,MSFT,277.2294006347656,35574
2021-07-09 11:31:00-04:00,GOOGL,2505.989990234375,1294
2021-07-09 11:31:00-04:00,MSFT,277.1400146484375,41229
2021-07-09 11:32:00-04:00,GOOGL,2504.830078125,578
2021-07-09 11:32:00-04:00,MSFT,276.9800109863281,59933
2021-07-09 11:33:00-04:00,GOOGL,2505.0400390625,4547
2021-07-09 11:33:00-04:00,MSFT,277.07000732421875,44573
2021-07-09 11:34:00-04:00,GOOGL,2505.804931640625,2599
2021-07-09 11:34:00-04:00,MSFT,277.0400085449219,33870
2021-07-09 11:35:00-04:00,GOOGL,2507.0,3540
2021-07-09 11:35:00-04:00,MSFT,277.0400085449219,20511
2021-07-09 11:36:00-04:00,GOOGL,2506.1201171875,1205
2021-07-09 11:36:00-04:00,MSFT,277.194091796875,33484
2021-07-09 11:37:00-04:00,GOOGL,2506.969970703125,1891
2021-07-09 11:37:00-04:00,MSFT,277.19500732421875,29089
2021-07-09 11:38:00-04:00,GOOGL,2506.3798828125,1631
2021-07-09 11:38:00-04:00,MSFT,277.2149963378906,26899
2021-07-09 11:39:00-04:00,GOOGL,2506.0400390625,1268
2021-07-09 11:39:00-04:00,MSFT,277.2900085449219,34447
2021-07-09 11:40:00-04:00,GOOGL,2506.054931640625,1293
2021-07-09 11:40:00-04:00,MSFT,277.25,46140
2021-07-09 11:41:00-04:00,GOOGL,2505.64990234375,1154
2021-07-09 11:41:00-04:00,MSFT,277.3599853515625,29920
2021-07-09 11:42:00-04:00,GOOGL,2506.112060546875,1955
2021-07-09 11:42:00-04:00,MSFT,277.3900146484375,34547
2021-07-09 11:43:00-04:00,GOOGL,2506.110107421875,534
2021-07-09 11:43:00-04:00,MSFT,277.4100036621094,34638
2021-07-09 11:44:00-04:00,GOOGL,2506.06005859375,2618
2021-07-09 11:44:00-04:00,MSFT,277.3599853515625,23974
2021-07-09 11:45:00-04:00,MSFT,277.489990234375,41665
2021-07-09 11:46:00-04:00,GOOGL,2507.0,1541
2021-07-09 11:46:00-04:00,MSFT,277.57000732421875,65303
2021-07-09 11:47:00-04:00,GOOGL,2508.469970703125,2238
2021-07-09 11:47:00-04:00,MSFT,277.5299987792969,45957
2021-07-09 11:48:00-04:00,GOOGL,2507.419921875,3168
2021-07-09 11:48:00-04:00,MSFT,277.489990234375,32752
2021-07-09 11:49:00-04:00,GOOGL,2508.409912109375,366
2021-07-09 11:49:00-04:00,MSFT,277.52679443359375,28638
2021-07-09 11:50:00-04:00,GOOGL,2507.590087890625,1764
2021-07-09 11:50:00-04:00,MSFT,277.5400085449219,24521
